===2023-08-07 14:23:01===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
denominator: 38300.46875
 Site-photo                         | Train Loss: 1.9025 | Train Acc: 0.3571
 Site-photo                         | Train Loss: 1.9161 | Train Acc: 0.2222
 Site-photo                         | Train Loss: 1.8812 | Train Acc: 0.3750
 Site-photo                         | Train Loss: 1.8890 | Train Acc: 0.3548
 Site-photo                         | Train Loss: 1.9242 | Train Acc: 0.3500
 Site-photo                         | Train Loss: 1.8960 | Train Acc: 0.3269
 Site-photo                         | Train Loss: 1.8900 | Train Acc: 0.4559
 Site-photo                         | Train Loss: 1.9016 | Train Acc: 0.3523
 Site-photo                         | Train Loss: 1.8962 | Train Acc: 0.3451
 Site-photo                         | Train Loss: 1.9081 | Train Acc: 0.3151
 Site-art_painting                  | Train Loss: 1.9279 | Train Acc: 0.1667
 Site-art_painting                  | Train Loss: 1.9446 | Train Acc: 0.1818
 Site-art_painting                  | Train Loss: 1.9341 | Train Acc: 0.2000
 Site-art_painting                  | Train Loss: 1.9376 | Train Acc: 0.1250
 Site-art_painting                  | Train Loss: 1.9368 | Train Acc: 0.1172
 Site-cartoon                       | Train Loss: 1.9859 | Train Acc: 0.0909
 Site-cartoon                       | Train Loss: 1.9493 | Train Acc: 0.1130
 Site-sketch                        | Train Loss: 1.9191 | Train Acc: 0.1897
Average Train Accuracy: 0.2577
 Site-photo                         | Val  Loss: 1.9204 | Val  Acc: 0.2222
 Site-photo                         | Val  Loss: 1.8967 | Val  Acc: 0.4167
 Site-photo                         | Val  Loss: 1.8799 | Val  Acc: 0.5000
 Site-photo                         | Val  Loss: 1.9033 | Val  Acc: 0.4286
 Site-photo                         | Val  Loss: 1.9009 | Val  Acc: 0.3333
 Site-photo                         | Val  Loss: 1.9074 | Val  Acc: 0.3143
 Site-photo                         | Val  Loss: 1.8844 | Val  Acc: 0.4000
 Site-photo                         | Val  Loss: 1.8977 | Val  Acc: 0.3793
 Site-photo                         | Val  Loss: 1.9128 | Val  Acc: 0.3333
 Site-photo                         | Val  Loss: 1.8969 | Val  Acc: 0.3299
 Site-art_painting                  | Val  Loss: 1.9876 | Val  Acc: 0.0000
 Site-art_painting                  | Val  Loss: 1.9588 | Val  Acc: 0.0000
 Site-art_painting                  | Val  Loss: 1.9273 | Val  Acc: 0.0385
 Site-art_painting                  | Val  Loss: 1.9402 | Val  Acc: 0.1702
 Site-art_painting                  | Val  Loss: 1.9295 | Val  Acc: 0.1412
 Site-cartoon                       | Val  Loss: 1.9397 | Val  Acc: 0.0000
 Site-cartoon                       | Val  Loss: 1.9525 | Val  Acc: 0.1299
 Site-sketch                        | Val  Loss: 1.9256 | Val  Acc: 0.2051
Average Valid Accuracy: 0.2412
 Best site-photo                     | Epoch:0 | Val Acc: 0.2222
 Best site-photo                     | Epoch:0 | Val Acc: 0.4167
 Best site-photo                     | Epoch:0 | Val Acc: 0.5000
 Best site-photo                     | Epoch:0 | Val Acc: 0.4286
 Best site-photo                     | Epoch:0 | Val Acc: 0.3333
 Best site-photo                     | Epoch:0 | Val Acc: 0.3143
 Best site-photo                     | Epoch:0 | Val Acc: 0.4000
 Best site-photo                     | Epoch:0 | Val Acc: 0.3793
 Best site-photo                     | Epoch:0 | Val Acc: 0.3333
 Best site-photo                     | Epoch:0 | Val Acc: 0.3299
 Best site-art_painting              | Epoch:0 | Val Acc: 0.0000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.0000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.0385
 Best site-art_painting              | Epoch:0 | Val Acc: 0.1702
 Best site-art_painting              | Epoch:0 | Val Acc: 0.1412
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.0000
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.1299
 Best site-sketch                    | Epoch:0 | Val Acc: 0.2051
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/q-ffl...
============ Train epoch 1 ============
denominator: 37666.68359375
 Site-photo                         | Train Loss: 1.8497 | Train Acc: 0.3571
 Site-photo                         | Train Loss: 1.8501 | Train Acc: 0.5556
 Site-photo                         | Train Loss: 1.8501 | Train Acc: 0.5000
 Site-photo                         | Train Loss: 1.8345 | Train Acc: 0.5806
 Site-photo                         | Train Loss: 1.8671 | Train Acc: 0.3500
 Site-photo                         | Train Loss: 1.8541 | Train Acc: 0.4231
 Site-photo                         | Train Loss: 1.8098 | Train Acc: 0.5441
 Site-photo                         | Train Loss: 1.8490 | Train Acc: 0.4773
 Site-photo                         | Train Loss: 1.8531 | Train Acc: 0.4513
 Site-photo                         | Train Loss: 1.8700 | Train Acc: 0.4315
 Site-art_painting                  | Train Loss: 1.9226 | Train Acc: 0.3333
 Site-art_painting                  | Train Loss: 1.9064 | Train Acc: 0.3182
 Site-art_painting                  | Train Loss: 1.9104 | Train Acc: 0.3000
 Site-art_painting                  | Train Loss: 1.9245 | Train Acc: 0.1667
 Site-art_painting                  | Train Loss: 1.9118 | Train Acc: 0.2031
 Site-cartoon                       | Train Loss: 1.9563 | Train Acc: 0.0909
 Site-cartoon                       | Train Loss: 1.9490 | Train Acc: 0.1739
 Site-sketch                        | Train Loss: 1.9254 | Train Acc: 0.1379
Average Train Accuracy: 0.3553
 Site-photo                         | Val  Loss: 1.8610 | Val  Acc: 0.3333
 Site-photo                         | Val  Loss: 1.8544 | Val  Acc: 0.5833
 Site-photo                         | Val  Loss: 1.8273 | Val  Acc: 0.5000
 Site-photo                         | Val  Loss: 1.8541 | Val  Acc: 0.5238
 Site-photo                         | Val  Loss: 1.8598 | Val  Acc: 0.4444
 Site-photo                         | Val  Loss: 1.8563 | Val  Acc: 0.4571
 Site-photo                         | Val  Loss: 1.8343 | Val  Acc: 0.6000
 Site-photo                         | Val  Loss: 1.8580 | Val  Acc: 0.3621
 Site-photo                         | Val  Loss: 1.8542 | Val  Acc: 0.5467
 Site-photo                         | Val  Loss: 1.8510 | Val  Acc: 0.4433
 Site-art_painting                  | Val  Loss: 1.9381 | Val  Acc: 0.0000
 Site-art_painting                  | Val  Loss: 1.9225 | Val  Acc: 0.0000
 Site-art_painting                  | Val  Loss: 1.9031 | Val  Acc: 0.2308
 Site-art_painting                  | Val  Loss: 1.9057 | Val  Acc: 0.2553
 Site-art_painting                  | Val  Loss: 1.9082 | Val  Acc: 0.2000
 Site-cartoon                       | Val  Loss: 1.9569 | Val  Acc: 0.1429
 Site-cartoon                       | Val  Loss: 1.9097 | Val  Acc: 0.2468
 Site-sketch                        | Val  Loss: 1.9215 | Val  Acc: 0.1795
Average Valid Accuracy: 0.3361
 Best site-photo                     | Epoch:1 | Val Acc: 0.3333
 Best site-photo                     | Epoch:1 | Val Acc: 0.5833
 Best site-photo                     | Epoch:1 | Val Acc: 0.5000
 Best site-photo                     | Epoch:1 | Val Acc: 0.5238
 Best site-photo                     | Epoch:1 | Val Acc: 0.4444
 Best site-photo                     | Epoch:1 | Val Acc: 0.4571
 Best site-photo                     | Epoch:1 | Val Acc: 0.6000
 Best site-photo                     | Epoch:1 | Val Acc: 0.3621
 Best site-photo                     | Epoch:1 | Val Acc: 0.5467
 Best site-photo                     | Epoch:1 | Val Acc: 0.4433
 Best site-art_painting              | Epoch:1 | Val Acc: 0.0000
 Best site-art_painting              | Epoch:1 | Val Acc: 0.0000
