===2023-08-10 16:46:51===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.8660 | Train Acc: 0.4286
 Site-photo                         | Train Loss: 1.8604 | Train Acc: 0.3889
 Site-photo                         | Train Loss: 1.8627 | Train Acc: 0.4167
 Site-photo                         | Train Loss: 1.8706 | Train Acc: 0.3226
 Site-photo                         | Train Loss: 1.9027 | Train Acc: 0.2500
 Site-photo                         | Train Loss: 1.8668 | Train Acc: 0.3269
 Site-photo                         | Train Loss: 1.8907 | Train Acc: 0.4265
 Site-photo                         | Train Loss: 1.8796 | Train Acc: 0.4205
 Site-photo                         | Train Loss: 1.8697 | Train Acc: 0.3717
 Site-photo                         | Train Loss: 1.8787 | Train Acc: 0.3425
 Site-art_painting                  | Train Loss: 1.9196 | Train Acc: 0.1667
 Site-art_painting                  | Train Loss: 1.9270 | Train Acc: 0.2727
 Site-art_painting                  | Train Loss: 1.9343 | Train Acc: 0.1250
 Site-art_painting                  | Train Loss: 1.8991 | Train Acc: 0.2361
 Site-art_painting                  | Train Loss: 1.9231 | Train Acc: 0.1641
 Site-cartoon                       | Train Loss: 1.9371 | Train Acc: 0.0909
 Site-cartoon                       | Train Loss: 1.9623 | Train Acc: 0.1391
 Site-sketch                        | Train Loss: 1.9400 | Train Acc: 0.2586
Average Train Accuracy: 0.2860
 Site-photo                         | Val  Loss: 1.9033 | Val  Acc: 0.2222
 Site-photo                         | Val  Loss: 1.8841 | Val  Acc: 0.3333
 Site-photo                         | Val  Loss: 1.8986 | Val  Acc: 0.3125
 Site-photo                         | Val  Loss: 1.8724 | Val  Acc: 0.2857
 Site-photo                         | Val  Loss: 1.8756 | Val  Acc: 0.3333
 Site-photo                         | Val  Loss: 1.8770 | Val  Acc: 0.3714
 Site-photo                         | Val  Loss: 1.8659 | Val  Acc: 0.4667
 Site-photo                         | Val  Loss: 1.8759 | Val  Acc: 0.4310
 Site-photo                         | Val  Loss: 1.8773 | Val  Acc: 0.4667
 Site-photo                         | Val  Loss: 1.8685 | Val  Acc: 0.3711
 Site-art_painting                  | Val  Loss: 1.9673 | Val  Acc: 0.0000
 Site-art_painting                  | Val  Loss: 1.9197 | Val  Acc: 0.0667
 Site-art_painting                  | Val  Loss: 1.9021 | Val  Acc: 0.2308
 Site-art_painting                  | Val  Loss: 1.9123 | Val  Acc: 0.2340
 Site-art_painting                  | Val  Loss: 1.9023 | Val  Acc: 0.2235
 Site-cartoon                       | Val  Loss: 1.9622 | Val  Acc: 0.0000
 Site-cartoon                       | Val  Loss: 1.9479 | Val  Acc: 0.1429
 Site-sketch                        | Val  Loss: 1.9544 | Val  Acc: 0.1795
Average Valid Accuracy: 0.2595
 Best site-photo                     | Epoch:0 | Val Acc: 0.2222
 Best site-photo                     | Epoch:0 | Val Acc: 0.3333
 Best site-photo                     | Epoch:0 | Val Acc: 0.3125
 Best site-photo                     | Epoch:0 | Val Acc: 0.2857
 Best site-photo                     | Epoch:0 | Val Acc: 0.3333
 Best site-photo                     | Epoch:0 | Val Acc: 0.3714
 Best site-photo                     | Epoch:0 | Val Acc: 0.4667
 Best site-photo                     | Epoch:0 | Val Acc: 0.4310
 Best site-photo                     | Epoch:0 | Val Acc: 0.4667
 Best site-photo                     | Epoch:0 | Val Acc: 0.3711
 Best site-art_painting              | Epoch:0 | Val Acc: 0.0000
 Best site-art_painting              | Epoch:0 | Val Acc: 0.0667
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2308
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2340
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2235
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.0000
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.1429
 Best site-sketch                    | Epoch:0 | Val Acc: 0.1795
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_0/fedmix...
============ Train epoch 1 ============
 Site-photo                         | Train Loss: 1.7878 | Train Acc: 0.6429
 Site-photo                         | Train Loss: 1.7999 | Train Acc: 0.6667
 Site-photo                         | Train Loss: 1.7833 | Train Acc: 0.7083
 Site-photo                         | Train Loss: 1.7923 | Train Acc: 0.7097
 Site-photo                         | Train Loss: 1.8332 | Train Acc: 0.4750
 Site-photo                         | Train Loss: 1.7963 | Train Acc: 0.5385
 Site-photo                         | Train Loss: 1.7645 | Train Acc: 0.6618
 Site-photo                         | Train Loss: 1.7944 | Train Acc: 0.6364
 Site-photo                         | Train Loss: 1.8020 | Train Acc: 0.6814
 Site-photo                         | Train Loss: 1.8212 | Train Acc: 0.6370
 Site-art_painting                  | Train Loss: 1.8672 | Train Acc: 0.4167
 Site-art_painting                  | Train Loss: 1.9159 | Train Acc: 0.1818
 Site-art_painting                  | Train Loss: 1.9063 | Train Acc: 0.1500
 Site-art_painting                  | Train Loss: 1.8337 | Train Acc: 0.4306
 Site-art_painting                  | Train Loss: 1.8904 | Train Acc: 0.2891
 Site-cartoon                       | Train Loss: 1.9220 | Train Acc: 0.0909
 Site-cartoon                       | Train Loss: 1.9298 | Train Acc: 0.1739
 Site-sketch                        | Train Loss: 1.9376 | Train Acc: 0.2586
Average Train Accuracy: 0.4638
 Site-photo                         | Val  Loss: 1.8161 | Val  Acc: 0.7778
 Site-photo                         | Val  Loss: 1.8127 | Val  Acc: 0.5000
 Site-photo                         | Val  Loss: 1.8268 | Val  Acc: 0.6250
 Site-photo                         | Val  Loss: 1.8012 | Val  Acc: 0.5238
 Site-photo                         | Val  Loss: 1.8037 | Val  Acc: 0.5556
 Site-photo                         | Val  Loss: 1.8229 | Val  Acc: 0.5143
 Site-photo                         | Val  Loss: 1.8025 | Val  Acc: 0.6000
 Site-photo                         | Val  Loss: 1.8002 | Val  Acc: 0.6379
 Site-photo                         | Val  Loss: 1.8148 | Val  Acc: 0.6800
 Site-photo                         | Val  Loss: 1.7974 | Val  Acc: 0.6186
 Site-art_painting                  | Val  Loss: 1.9556 | Val  Acc: 0.1250
 Site-art_painting                  | Val  Loss: 1.9298 | Val  Acc: 0.1333
 Site-art_painting                  | Val  Loss: 1.8831 | Val  Acc: 0.3462
 Site-art_painting                  | Val  Loss: 1.8798 | Val  Acc: 0.2766
 Site-art_painting                  | Val  Loss: 1.8630 | Val  Acc: 0.3765
 Site-cartoon                       | Val  Loss: 1.9270 | Val  Acc: 0.1429
 Site-cartoon                       | Val  Loss: 1.9168 | Val  Acc: 0.1948
 Site-sketch                        | Val  Loss: 1.9465 | Val  Acc: 0.2308
Average Valid Accuracy: 0.4366
 Best site-photo                     | Epoch:1 | Val Acc: 0.7778
 Best site-photo                     | Epoch:1 | Val Acc: 0.5000
 Best site-photo                     | Epoch:1 | Val Acc: 0.6250
 Best site-photo                     | Epoch:1 | Val Acc: 0.5238
 Best site-photo                     | Epoch:1 | Val Acc: 0.5556
 Best site-photo                     | Epoch:1 | Val Acc: 0.5143
 Best site-photo                     | Epoch:1 | Val Acc: 0.6000
 Best site-photo                     | Epoch:1 | Val Acc: 0.6379
 Best site-photo                     | Epoch:1 | Val Acc: 0.6800
 Best site-photo                     | Epoch:1 | Val Acc: 0.6186
 Best site-art_painting              | Epoch:1 | Val Acc: 0.1250
 Best site-art_painting              | Epoch:1 | Val Acc: 0.1333
 Best site-art_painting              | Epoch:1 | Val Acc: 0.3462
 Best site-art_painting              | Epoch:1 | Val Acc: 0.2766
 Best site-art_painting              | Epoch:1 | Val Acc: 0.3765
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.1429
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.1948
 Best site-sketch                    | Epoch:1 | Val Acc: 0.2308
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_0/fedmix...
============ Train epoch 2 ============
 Site-photo                         | Train Loss: 1.7169 | Train Acc: 0.7857
 Site-photo                         | Train Loss: 1.7258 | Train Acc: 0.8333
 Site-photo                         | Train Loss: 1.7194 | Train Acc: 0.9167
 Site-photo                         | Train Loss: 1.7328 | Train Acc: 0.9032
 Site-photo                         | Train Loss: 1.7754 | Train Acc: 0.6000
 Site-photo                         | Train Loss: 1.7248 | Train Acc: 0.8077
 Site-photo                         | Train Loss: 1.7564 | Train Acc: 0.8088
 Site-photo                         | Train Loss: 1.7405 | Train Acc: 0.7045
 Site-photo                         | Train Loss: 1.7264 | Train Acc: 0.7876
 Site-photo                         | Train Loss: 1.7288 | Train Acc: 0.7877
 Site-art_painting                  | Train Loss: 1.8546 | Train Acc: 0.4167
 Site-art_painting                  | Train Loss: 1.8544 | Train Acc: 0.3636
 Site-art_painting                  | Train Loss: 1.8660 | Train Acc: 0.2500
 Site-art_painting                  | Train Loss: 1.7980 | Train Acc: 0.4861
 Site-art_painting                  | Train Loss: 1.8468 | Train Acc: 0.3828
 Site-cartoon                       | Train Loss: 1.8800 | Train Acc: 0.2727
 Site-cartoon                       | Train Loss: 1.8978 | Train Acc: 0.2783
 Site-sketch                        | Train Loss: 1.9230 | Train Acc: 0.2759
Average Train Accuracy: 0.5923
 Site-photo                         | Val  Loss: 1.7588 | Val  Acc: 0.7778
 Site-photo                         | Val  Loss: 1.7644 | Val  Acc: 0.8333
 Site-photo                         | Val  Loss: 1.7863 | Val  Acc: 0.6250
 Site-photo                         | Val  Loss: 1.7410 | Val  Acc: 0.6190
 Site-photo                         | Val  Loss: 1.7423 | Val  Acc: 0.6296
 Site-photo                         | Val  Loss: 1.7444 | Val  Acc: 0.6857
 Site-photo                         | Val  Loss: 1.7219 | Val  Acc: 0.7556
 Site-photo                         | Val  Loss: 1.7330 | Val  Acc: 0.7759
 Site-photo                         | Val  Loss: 1.7408 | Val  Acc: 0.7733
 Site-photo                         | Val  Loss: 1.7268 | Val  Acc: 0.7216
 Site-art_painting                  | Val  Loss: 1.8906 | Val  Acc: 0.1250
 Site-art_painting                  | Val  Loss: 1.8537 | Val  Acc: 0.3333
