===2023-08-10 18:13:54===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
denominator: 38237.33203125
 Site-photo                         | Train Loss: 1.8834 | Train Acc: 0.2143
 Site-photo                         | Train Loss: 1.9170 | Train Acc: 0.2778
 Site-photo                         | Train Loss: 1.9343 | Train Acc: 0.2083
 Site-photo                         | Train Loss: 1.8710 | Train Acc: 0.3548
 Site-photo                         | Train Loss: 1.9077 | Train Acc: 0.2500
 Site-photo                         | Train Loss: 1.8882 | Train Acc: 0.3269
 Site-photo                         | Train Loss: 1.9175 | Train Acc: 0.2353
 Site-photo                         | Train Loss: 1.8939 | Train Acc: 0.2955
 Site-photo                         | Train Loss: 1.9125 | Train Acc: 0.1858
 Site-photo                         | Train Loss: 1.8901 | Train Acc: 0.2740
 Site-art_painting                  | Train Loss: 1.9727 | Train Acc: 0.1667
 Site-art_painting                  | Train Loss: 1.9125 | Train Acc: 0.1818
 Site-art_painting                  | Train Loss: 1.9063 | Train Acc: 0.3500
 Site-art_painting                  | Train Loss: 1.9033 | Train Acc: 0.2222
 Site-art_painting                  | Train Loss: 1.8884 | Train Acc: 0.3047
 Site-cartoon                       | Train Loss: 1.9459 | Train Acc: 0.1818
 Site-cartoon                       | Train Loss: 1.9374 | Train Acc: 0.1565
 Site-sketch                        | Train Loss: 1.9617 | Train Acc: 0.0345
Average Train Accuracy: 0.2345
 Site-photo                         | Val  Loss: 1.9200 | Val  Acc: 0.0000
 Site-photo                         | Val  Loss: 1.9099 | Val  Acc: 0.1667
 Site-photo                         | Val  Loss: 1.9240 | Val  Acc: 0.3125
 Site-photo                         | Val  Loss: 1.9091 | Val  Acc: 0.1905
 Site-photo                         | Val  Loss: 1.9076 | Val  Acc: 0.2222
 Site-photo                         | Val  Loss: 1.9138 | Val  Acc: 0.2286
 Site-photo                         | Val  Loss: 1.9189 | Val  Acc: 0.2222
 Site-photo                         | Val  Loss: 1.8896 | Val  Acc: 0.3448
 Site-photo                         | Val  Loss: 1.8936 | Val  Acc: 0.2400
 Site-photo                         | Val  Loss: 1.8980 | Val  Acc: 0.2990
 Site-art_painting                  | Val  Loss: 1.9247 | Val  Acc: 0.1250
 Site-art_painting                  | Val  Loss: 1.9227 | Val  Acc: 0.1333
