===2023-08-10 20:45:45===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.8358 | Train Acc: 0.5000
 Site-photo                         | Train Loss: 1.8651 | Train Acc: 0.3333
 Site-photo                         | Train Loss: 1.8076 | Train Acc: 0.5833
 Site-photo                         | Train Loss: 1.8635 | Train Acc: 0.4516
 Site-photo                         | Train Loss: 1.8299 | Train Acc: 0.5000
 Site-photo                         | Train Loss: 1.8588 | Train Acc: 0.4231
 Site-photo                         | Train Loss: 1.8188 | Train Acc: 0.4412
 Site-photo                         | Train Loss: 1.8328 | Train Acc: 0.3750
 Site-photo                         | Train Loss: 1.8522 | Train Acc: 0.4425
 Site-photo                         | Train Loss: 1.8399 | Train Acc: 0.4726
 Site-art_painting                  | Train Loss: 1.9146 | Train Acc: 0.2500
 Site-art_painting                  | Train Loss: 1.9034 | Train Acc: 0.3182
 Site-art_painting                  | Train Loss: 1.9193 | Train Acc: 0.2500
 Site-art_painting                  | Train Loss: 1.8929 | Train Acc: 0.2361
 Site-art_painting                  | Train Loss: 1.9188 | Train Acc: 0.2109
 Site-cartoon                       | Train Loss: 1.9224 | Train Acc: 0.0909
 Site-cartoon                       | Train Loss: 1.9125 | Train Acc: 0.2261
 Site-sketch                        | Train Loss: 1.9439 | Train Acc: 0.1897
Average Train Accuracy: 0.3497
 Site-photo                         | Val  Loss: 1.8638 | Val  Acc: 0.5556
 Site-photo                         | Val  Loss: 1.8435 | Val  Acc: 0.5833
 Site-photo                         | Val  Loss: 1.8608 | Val  Acc: 0.5000
 Site-photo                         | Val  Loss: 1.8624 | Val  Acc: 0.4762
 Site-photo                         | Val  Loss: 1.8454 | Val  Acc: 0.5185
 Site-photo                         | Val  Loss: 1.8202 | Val  Acc: 0.5429
 Site-photo                         | Val  Loss: 1.8286 | Val  Acc: 0.4667
 Site-photo                         | Val  Loss: 1.8578 | Val  Acc: 0.2931
 Site-photo                         | Val  Loss: 1.8604 | Val  Acc: 0.4533
 Site-photo                         | Val  Loss: 1.8502 | Val  Acc: 0.4742
 Site-art_painting                  | Val  Loss: 1.9351 | Val  Acc: 0.2500
 Site-art_painting                  | Val  Loss: 1.9355 | Val  Acc: 0.1333
 Site-art_painting                  | Val  Loss: 1.9223 | Val  Acc: 0.1538
 Site-art_painting                  | Val  Loss: 1.9003 | Val  Acc: 0.2553
 Site-art_painting                  | Val  Loss: 1.9038 | Val  Acc: 0.2471
 Site-cartoon                       | Val  Loss: 1.8608 | Val  Acc: 0.5714
 Site-cartoon                       | Val  Loss: 1.9147 | Val  Acc: 0.2078
 Site-sketch                        | Val  Loss: 1.9237 | Val  Acc: 0.2564
Average Valid Accuracy: 0.3855
 Best site-photo                     | Epoch:0 | Val Acc: 0.5556
 Best site-photo                     | Epoch:0 | Val Acc: 0.5833
 Best site-photo                     | Epoch:0 | Val Acc: 0.5000
 Best site-photo                     | Epoch:0 | Val Acc: 0.4762
 Best site-photo                     | Epoch:0 | Val Acc: 0.5185
 Best site-photo                     | Epoch:0 | Val Acc: 0.5429
 Best site-photo                     | Epoch:0 | Val Acc: 0.4667
 Best site-photo                     | Epoch:0 | Val Acc: 0.2931
 Best site-photo                     | Epoch:0 | Val Acc: 0.4533
 Best site-photo                     | Epoch:0 | Val Acc: 0.4742
 Best site-art_painting              | Epoch:0 | Val Acc: 0.2500
 Best site-art_painting              | Epoch:0 | Val Acc: 0.1333
 Best site-art_painting              | Epoch:0 | Val Acc: 0.1538
