===2023-07-28 11:21:22===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
domain number = 6
============ Train epoch 0 ============
denominator: 42969.27734375
 Site-Clipart                       | Train Loss: 2.2275 | Train Acc: 0.3478
 Site-Clipart                       | Train Loss: 2.2216 | Train Acc: 0.3416
 Site-Clipart                       | Train Loss: 2.2209 | Train Acc: 0.3200
 Site-Clipart                       | Train Loss: 2.2187 | Train Acc: 0.3165
 Site-Clipart                       | Train Loss: 2.2234 | Train Acc: 0.3122
 Site-Real                          | Train Loss: 2.1956 | Train Acc: 0.4762
 Site-Real                          | Train Loss: 2.1996 | Train Acc: 0.4859
 Site-Real                          | Train Loss: 2.1984 | Train Acc: 0.4960
 Site-Real                          | Train Loss: 2.2046 | Train Acc: 0.4626
 Site-Painting                      | Train Loss: 2.2073 | Train Acc: 0.3946
 Site-Painting                      | Train Loss: 2.2167 | Train Acc: 0.3883
 Site-Painting                      | Train Loss: 2.2090 | Train Acc: 0.4187
 Site-Sketch                        | Train Loss: 2.2206 | Train Acc: 0.3455
 Site-Sketch                        | Train Loss: 2.2250 | Train Acc: 0.3184
 Site-QuickDraw                     | Train Loss: 2.2910 | Train Acc: 0.1376
 Site-Infograph                     | Train Loss: 2.2872 | Train Acc: 0.1453
Average Train Accuracy: 0.3567
 Site-Clipart                       | Val  Loss: 2.1942 | Val  Acc: 0.4079
 Site-Clipart                       | Val  Loss: 2.1984 | Val  Acc: 0.4393
 Site-Clipart                       | Val  Loss: 2.2028 | Val  Acc: 0.3733
 Site-Clipart                       | Val  Loss: 2.2217 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.2187 | Val  Acc: 0.3390
 Site-Real                          | Val  Loss: 2.1939 | Val  Acc: 0.4048
 Site-Real                          | Val  Loss: 2.1927 | Val  Acc: 0.4576
 Site-Real                          | Val  Loss: 2.1989 | Val  Acc: 0.5273
 Site-Real                          | Val  Loss: 2.1976 | Val  Acc: 0.4892
 Site-Painting                      | Val  Loss: 2.2282 | Val  Acc: 0.3367
